"country","lat","lon"
"India","27.2477622","75.6513941"
"Pakistan","29.9935922","73.2527621"
"South Africa","-26.658679","28.589806"
"India","31.018294","75.7839116"
"India","32.3428969","76.5373814"
"India","24.8186239","84.6333022"
"India","22.7779225","85.1049685"
"India","25.7831986","78.4935379"
"India","27.166667","79"
"India","28.23894","78.437849"
"Pakistan","29.6104977","73.1388889"
"India","28.0003366","75.784133"
"India","25.7310385","77.7344727"
"India","28.7936102","77.602349"
"India","27.5367012","77.1495795"
"India","29.3215949","77.2697457"
"India","24.8496808","74.939096"
"India","24.723961","77.451615"
"India","28.265912","76.1514755"
"Pakistan","29.5390395","71.6344196"
"Pakistan","29.7989371","72.1782366"
"India","30.7988727","76.0372906"
"Pakistan","31.41232645","73.05495959089825"
"India","27.4010619","80.1329669"
"India","28.8360988","78.2452916"
"India","26.0875514","83.2905851"
"India","27.2000843","73.7377453"
"Pakistan","31.4548712","73.7090967"
"Republic of Korea","37.5666791","126.9782914"
"India","28.0252569","79.4067478"
"India","28.7142498","77.654851"
"India","21.3445535","79.5991747"
"India","31.0613161","75.5421209"
"India","27.1294121","72.3649644"
"India","28.3302472","76.3091414"
"India","26.2967719","73.0351433"
"India","24.9410997","84.8430124"
"India","26.2318384","73.3140849"
"India","26.0654351","83.184439"
"India","28.355099","79.417851"
"India","25.2219788","84.2653139"
"India","19.197002","72.977524"
"Uzbekistan","41.5544131","61.0002405"
"Pakistan","31.0321973","73.1330041"
"India","27.9616924","73.5601303"
"Mexico","19.5144327","-98.8821254"
"Mexico","19.245278","-98.404722"
"India","28.0018463","79.0087423"
"India","28.6273928","77.1716954"
"United States of America","37.2395367","-107.82158179169292"
"India","29.1841366","74.7691392"
"India","26.1142326","77.4303531"
"India","30.245568","77.3592324"
"India","29.414476","77.469013"
"India","28.298335","74.9679308"
"India","28.0159286","73.3171367"
"India","28.2729454","79.1626658"
"India","21.1552451","79.6185548"
"India","27.8503","75.2741"
"India","28.1033372","77.0047993"
"India","27.704499","76.19553"
"India","27.8077034","78.6456226"
"India","28.9010899","76.5801935"
"India","27.7903943","73.3387051"
"Mexico","19.3129326","-98.8840481"
"India","27.56002","78.6578425"
"Pakistan","33.8218473","72.6873895"
"India","30.5902884","76.8257537"
"India","27.53341","80.2881592"
"South Africa","-25.7459277","28.1879101"
"India","26.031065","75.7427931"
"India","29.6934466","75.23753"
"India","28.0671465","80.0973671"
"Mexico","19.7875962","-98.5522855"
"India","25.3512427","78.7993878"
"Chile","-33.2864213","-70.8729771"
"India","26.869005","80.7877429"
"India","25.32593","84.25976"
"India","29.1539372","77.9898759"
"India","30.2051335","74.6635003"
"India","28.770092","77.626343"
"India","26.2650823","81.5484734"
"India","26.9116615","70.9124888"
"India","27.1893662","78.7937837"
"India","27.3637739","76.8581926"
"India","29.8330601","74.9760939"
"India","29.7093806","73.62449"
"Pakistan","30.1588005","72.6796973"
"India","30.5046465","74.7470748"
"India","29.4662369","77.6961699"
"India","29.03616","79.23627"
"India","25.2262178","76.8455457"
"India","27.9797928","79.8225386"
"India","18.9922654","77.1093571"
"India","29.9486566","74.7372809"
"India","32.0169368","76.6073763"
"India","26.4591497","80.7735013"
"China","30.6598628","104.0633717"
"India","29.10532","75.9634101"
"India","29.5199196","77.2232437"
"India","29.1233432","76.4028074"
"India","28.7684086","77.5408434"
"India","27.3152709","77.3789964"
"India","27.9420637","77.842669"
"India","24.7699994","73.7116957"
"India","24.7536696","84.3746725"
"India","27.545648","79.6866067"
"India","27.7018278","74.468707"
"Pakistan","30.531691","72.6914049"
"Mexico","19.2111351","-98.3807"
"Democratic Republic of the Congo","-6.4786095","16.8168133"
"India","28.0713573","76.5808858"
"India","29.2507967","79.3429613"
"India","29.535814","73.4459111"
"India","28.0283877","74.4736238"
"India","31.7029668","77.3156157"
"India","25.6093239","85.1235252"
"India","25.3508773","85.0341732"
"India","25.0162753","85.6429126"
"India","30.3835379","78.1180715"
"India","27.4029944","74.577845"
"India","30.4032097","74.0310609"
"India","29.3203309","73.9026728"
"India","26.7544858","83.1275735"
"India","31.1027381","74.9904064"
"India","30.9487213","76.502738"
"Democratic Republic of the Congo","-6.016667","22.616667"
"India","31.2154716","76.1426888"
"India","30.3708266","75.8647369"
"India","25.7156417","86.1900491"
"India","30.3295605","76.4127819"
"India","29.186892","77.829956"
"India","25.745304","71.3998217"
"India","28.5815658","77.8013509"
"India","27.1180904","81.5430517"
"India","26.6779293","77.0916438"
"India","28.4031478","77.3105561"
"India","30.581298","74.818169"
"India","27.2985804","81.1250812"
"India","27.4216563","77.100411"
"India","27.8999168","77.3739284"
"India","26.6963534","74.2263579"
"India","25.7557446","84.1503303"
"Pakistan","30.9631954","73.9807183"
"India","29.4916223","74.0790249"
"India","28.439515","74.495564"
"China","38.1904931","116.1191021"
"India","15.6672857","74.5321975"
"India","30.2108665","74.4812429"
"India","30.5601803","77.2923596"
"India","29.8397737","76.9318026"
"South Africa","-26.2124639","28.2617471"
"India","27.2596519","79.6323237"
"India","28.3622661","75.6042342"
"India","30.0984439","79.5954938"
"India","29.3266099","77.85042"
"India","28.4312733","80.5810023"
"India","28.2907772","80.343372"
"India","29.2780199","77.7324559"
"India","24.90776","84.1901412"
"India","29.2911363","78.2842594"
"Pakistan","29.1242299","71.7483177"
"India","29.9049489","73.8792934139276"
"India","28.8334982","78.7732864"
"India","28.0749601","74.6243533"
"India","25.834763","72.2410908"
"Democratic Republic of the Congo","-6.4230495","20.7887691"
