"country","lat","lon","max_co_aqi_value"
"Indonesia","-6.5745161","106.6343847",15
"Republic of Korea","37.5666791","126.9782914",27
"India","22.69972","88.3519784",12
"Indonesia","-6.23713985","106.56702010021641",15
"United States of America","37.2395367","-107.82158179169292",133
"Chile","-33.2864213","-70.8729771",28
"China","30.6598628","104.0633717",28
"Kenya","0.3361103","34.4895368",11
"India","22.7247059","88.3434353",12
"Malaysia","4.392739","113.9880255",67
"Democratic Republic of the Congo","-6.4786095","16.8168133",51
"Brazil","-23.5427842","-46.3108391",16
"Mexico","17.510999","-93.1186727",11
"Nigeria","5.5186186","5.7480196",16
"South Africa","-26.2124639","28.2617471",49
"Brazil","-23.9664177","-46.3861401",16
"Kenya","0.2833","34.75",11
"Angola","-8.5827504","13.6600788",23
"Russian Federation","55.149694","124.7375884",21
